feature,importance_gain,importance_split
symbol_id,327661.8046569824,692
feature_36,154855.13166809082,143
time_id,124419.53514099121,247
feature_04,112966.24555969238,81
feature_06,102122.30265808105,93
feature_58,91285.58805847168,127
feature_08_sym_roll20_mean,73921.85716247559,126
feature_08_sym_roll5_mean,69302.6700592041,104
feature_11,66955.27299499512,161
feature_70,53910.12211608887,138
feature_58_sym_roll20_mean,50473.17404174805,131
feature_04_sym_roll5_mean,39507.419830322266,65
feature_58_sym_roll5_mean,39140.10191345215,90
feature_58_sym_roll20_std,32728.34701538086,80
feature_08,29525.326919555664,48
feature_61_sym_roll20_mean,25717.170959472656,53
feature_31,25326.046966552734,57
feature_29,22365.815231323242,22
feature_01,22342.91000366211,53
feature_30,21840.24478149414,45
feature_27,21314.058013916016,43
feature_06_sym_roll20_mean,20505.247116088867,51
feature_20_sym_roll20_mean,19367.166732788086,34
feature_24_sym_roll20_mean,18750.309860229492,33
feature_21,17253.53498840332,47
feature_29_sym_roll5_mean,16690.721786499023,16
feature_08_sym_roll20_std,16678.48292541504,30
feature_61_sym_roll5_mean,15684.143966674805,38
feature_23_sym_roll20_mean,14882.309783935547,23
feature_61,14252.268051147461,37
feature_23,14208.244140625,19
feature_24_sym_roll5_mean,13341.010025024414,25
feature_04_sym_roll20_mean,12343.756057739258,34
feature_06_sym_roll20_std,11170.996078491211,34
feature_36_sym_roll5_mean,10636.560974121094,16
feature_29_sym_roll20_mean,10517.586822509766,23
feature_23_sym_roll5_mean,10337.904006958008,16
feature_20_sym_roll5_mean,8292.255966186523,26
feature_20,6807.51708984375,17
feature_24,6007.217041015625,17
feature_28,5398.98405456543,13
feature_06_sym_roll5_mean,4263.301910400391,14
feature_58_sym_roll5_std,4196.9830322265625,10
feature_36_sym_roll20_mean,2856.1669921875,8
feature_04_sym_roll20_std,2819.820999145508,9
feature_61_sym_roll20_std,2296.64599609375,8
feature_36_sym_roll20_std,1677.5350341796875,6
feature_08_sym_roll5_std,965.4529876708984,3
feature_23_sym_roll20_std,800.6179809570312,2
feature_06_sym_roll5_std,666.9949798583984,2
feature_20_sym_roll20_std,635.2630004882812,2
feature_36_sym_roll5_std,249.99000549316406,1
feature_61_sym_roll5_std,0.0,0
feature_04_sym_roll5_std,0.0,0
feature_20_sym_roll5_std,0.0,0
feature_24_sym_roll5_std,0.0,0
feature_24_sym_roll20_std,0.0,0
feature_29_sym_roll5_std,0.0,0
feature_29_sym_roll20_std,0.0,0
feature_23_sym_roll5_std,0.0,0
