feature,importance_gain,importance_split
symbol_id,175960.98971557617,384
feature_36,138682.61770629883,131
feature_04,121924.19688415527,95
feature_58,96383.02838134766,164
feature_08,92126.83081054688,132
time_id,85331.79904174805,163
feature_06,83959.53131103516,67
feature_70,48916.987854003906,129
feature_11,45915.532943725586,112
feature_23,32576.71466064453,38
feature_29,30554.378662109375,49
feature_61,29826.6580657959,65
feature_01,21325.89599609375,54
feature_20,21066.79621887207,40
feature_31,18855.248947143555,53
feature_27,17983.663955688477,39
feature_24,15871.86996459961,42
feature_21,13387.61294555664,31
feature_28,11454.962890625,20
feature_30,5214.56298828125,19
