feature,importance_gain,importance_split
feature_04,1515.6236572265625,92.0
feature_36,1216.643310546875,189.0
feature_23,1057.2169189453125,37.0
feature_06,958.9288330078125,155.0
feature_29,932.5818481445312,45.0
symbol_id,794.17626953125,21.0
feature_04_sym_roll5_mean,791.33154296875,83.0
feature_08,744.2603149414062,69.0
feature_08_sym_roll5_mean,735.1067504882812,118.0
feature_58,733.1483764648438,207.0
feature_24,670.2095336914062,56.0
feature_58_sym_roll5_mean,666.7546997070312,116.0
feature_08_sym_roll20_mean,637.891357421875,146.0
time_id,627.4600219726562,366.0
feature_31,614.1104736328125,112.0
feature_20,602.1765747070312,79.0
feature_24_sym_roll5_mean,585.4010620117188,14.0
feature_28,574.4107055664062,56.0
feature_29_sym_roll20_mean,569.5166015625,17.0
feature_20_sym_roll20_mean,559.3421020507812,45.0
feature_61_sym_roll20_mean,549.0743408203125,59.0
feature_58_sym_roll20_mean,548.7598876953125,132.0
feature_29_sym_roll5_mean,547.706787109375,35.0
feature_36_sym_roll5_mean,543.7885131835938,30.0
feature_70,538.36328125,179.0
feature_11,530.893310546875,40.0
feature_21,516.5108032226562,77.0
feature_61,509.4042663574219,86.0
feature_24_sym_roll20_mean,499.20111083984375,30.0
feature_30,498.3114929199219,102.0
feature_08_sym_roll20_std,495.229248046875,43.0
feature_23_sym_roll5_mean,493.7206115722656,20.0
feature_61_sym_roll5_mean,484.6487121582031,35.0
feature_20_sym_roll5_mean,463.80047607421875,26.0
feature_06_sym_roll20_std,460.76654052734375,63.0
feature_01,459.4674987792969,90.0
feature_58_sym_roll20_std,455.0425109863281,85.0
feature_06_sym_roll20_mean,442.8587951660156,74.0
feature_04_sym_roll20_mean,430.92449951171875,98.0
feature_23_sym_roll20_mean,424.34356689453125,20.0
feature_27,405.56982421875,36.0
feature_29_sym_roll20_std,383.13104248046875,14.0
feature_36_sym_roll20_std,381.10723876953125,30.0
feature_36_sym_roll20_mean,376.5898742675781,16.0
feature_06_sym_roll5_mean,353.8134460449219,18.0
feature_61_sym_roll20_std,336.3446044921875,15.0
feature_04_sym_roll20_std,332.0953674316406,54.0
feature_29_sym_roll5_std,304.0980529785156,3.0
feature_58_sym_roll5_std,272.73028564453125,10.0
feature_24_sym_roll20_std,262.10247802734375,5.0
feature_08_sym_roll5_std,247.2663116455078,5.0
feature_23_sym_roll20_std,226.66856384277344,3.0
feature_20_sym_roll20_std,200.03628540039062,4.0
feature_20_sym_roll5_std,198.3563232421875,3.0
feature_06_sym_roll5_std,168.823974609375,4.0
feature_36_sym_roll5_std,0.0,0.0
feature_61_sym_roll5_std,0.0,0.0
feature_04_sym_roll5_std,0.0,0.0
feature_24_sym_roll5_std,0.0,0.0
feature_23_sym_roll5_std,0.0,0.0
