feature,importance_gain,importance_split
feature_04,1035.5216064453125,184.0
feature_36,1013.6420288085938,258.0
feature_06,949.7741088867188,153.0
feature_29,761.5460205078125,127.0
feature_31,698.9482421875,162.0
feature_20,693.6153564453125,191.0
feature_21,688.7391967773438,100.0
feature_23,685.833740234375,97.0
feature_08,645.2110595703125,311.0
feature_24,604.6257934570312,142.0
feature_58,594.4530029296875,404.0
symbol_id,567.35009765625,37.0
time_id,542.3024291992188,524.0
feature_28,489.3280334472656,94.0
feature_11,468.9907531738281,49.0
feature_70,456.7781982421875,271.0
feature_61,439.231689453125,215.0
feature_27,433.3882141113281,84.0
feature_01,389.8012390136719,190.0
feature_30,374.8880920410156,148.0
